Year,Length,Title,Genre,Actor,Actress,Director,Popularity,Awards,Image
1988,108,Miles from Home,Drama,AndersonKevin,AndersonJo,SiniseGary,53,No,NicholasCage.png
1980,,Happy Birthday to Me,Horror,FordGlenn,AndersonMelissa Sue,ThompsonJ. Lee,88,No,glennFord.png
1989,88,Final Notice,Mystery,GerardGil,AndersonMelody,SternSteven Hilliard,88,No,NicholasCage.png
1979,110,Quintet,Drama,NewmanPaul,AnderssonBibi,AltmanRobert,19,No,paulNewman.png
1960,90,Devil's EyeThe,Drama,KulleJarl,AnderssonBibi,BergmanIngmar,20,No,Bergman.png
1957,91,Wild Strawberries,Drama,SjöströmVictor,AnderssonBibi,BergmanIngmar,42,Yes,Bergman.png
1956,96,Seventh SealThe,Drama,SydowMax von,AnderssonBibi,BergmanIngmar,62,No,Bergman.png
1992,90,Germicide,Drama,TaylorRod,AnderssonBibi,,36,No,NicholasCage.png
1955,86,Dreams,Drama,BjörnstrandGunnar,AnderssonHarriet,BergmanIngmar,14,No,Bergman.png
1955,95,Naked NightThe,Drama,BjörnstrandGunnar,AnderssonHarriet,BergmanIngmar,38,No,Bergman.png
1962,91,Through a Glass Darkly,Drama,BjörnstrandGunnar,AnderssonHarriet,BergmanIngmar,64,Yes,Bergman.png
1972,91,Cries & Whispers,Drama,JosephsonErland,AnderssonHarriet,BergmanIngmar,18,Yes,Bergman.png
1958,104,Barbarian & the GeishaThe,Action,WayneJohn,AndoEiko,HustonJohn,52,No,johnWayne.png
1967,130,Casino Royale,Comedy,NivenDavid,AndressUrsula,HughesKen,11,No,NicholasCage.png
1962,,Dr. No,Action,ConnerySean,AndressUrsula,YoungTerence,7,No,seanConnery.png
1954,103,Elephant Walk,Drama,FinchPeter,AndrewsDana,,11,No,NicholasCage.png
1979,121,Ten,Comedy,MooreDudley,AndrewsJulie,EdwardsBlake,60,No,NicholasCage.png
1983,118,Man Who Loved WomenThe,Comedy,ReynoldsBurt,AndrewsJulie,EdwardsBlake,67,No,NicholasCage.png
1966,190,Hawaii,Drama,SydowMax von,AndrewsJulie,HillGeorge Roy,8,No,NicholasCage.png
1966,125,Torn Curtain,Mystery,NewmanPaul,AndrewsJulie,HitchcockAlfred,35,No,paulNewman.png
1986,107,Duet for One,Drama,BatesAlan,AndrewsJulie,KonchalovskyAndrei,82,No,NicholasCage.png
1965,172,Sound of MusicThe,Music,PlummerChristopher,AndrewsJulie,WiseRobert,59,Yes,NicholasCage.png
1985,55,Gonzo Presents Muppet Weird Stuff,Comedy,CleeseJohn,AndrewsJulie,,88,No,NicholasCage.png
1984,140,Tartuffe,Comedy,DepardieuGérard,AnnenPaule,DepardieuGérard,67,No,NicholasCage.png
1988,104,A New Life,Comedy,AldaAlan,Ann-Margret,AldaAlan,53,No,NicholasCage.png
1978,106,Magic,Mystery,HopkinsAnthony,Ann-Margret,AttenboroughRichard,85,No,AnthonyHopkins.png
1992,286,Tommy,Music,DaltryRoger,Ann-Margret,RussellKen,5,No,NicholasCage.png
1978,108,Big FixThe,Mystery,DreyfussRichard,AnspachSusan,KaganJeremy Paul,19,No,NicholasCage.png
1992,95,Alan & Naomi,Drama,HaasLukas,AquinoVanessa,VanwagenenSterling,3,No,NicholasCage.png
1987,120,Fatal Attraction,Mystery,DouglasMichael,ArcherAnne,LyneAdrian,61,No,NicholasCage.png
1992,117,Patriot Games,Action,FordHarrison,ArcherAnne,NoycePhillip,28,No,NicholasCage.png
1981,106,Woman Next DoorThe,Drama,DepardieuGérard,ArdantFanny,TruffautFrançois,82,No,NicholasCage.png
1992,97,Hunting,Mystery,SavageJohn,ArmstrongKerry,HowsonFrank,68,No,NicholasCage.png
1991,115,Bataan,War,TaylorRobert,ArnazDesi,,68,No,NicholasCage.png
1924,110,SiegfriedThe Nibelungenlied,Drama,RichterPaul,ArnoldGertrud,LangFritz,79,No,NicholasCage.png
1991,90,HenryPortrait of a Serial Killer,Horror,RookerMichael,ArnoldTracy,,69,No,NicholasCage.png
1988,118,Big BlueThe,Drama,BarrJean-Marc,ArquetteRosanna,BessonLuc,7,No,NicholasCage.png
1991,115,Flight of the Intruder,Drama,GloverDanny,ArquetteRosanna,MiliusJohn,51,No,NicholasCage.png
1986,108,Nobody's Fool,Comedy,RobertsEric,ArquetteRosanna,PurcellEvelyn,52,No,NicholasCage.png
1985,97,After Hours,Comedy,DunneGriffin,ArquetteRosanna,ScorseseMartin,81,No,NicholasCage.png
1985,104,Desperately Seeking Susan,Comedy,QuinnAidan,ArquetteRosanna,SeidelmanSusan,41,No,NicholasCage.png
1971,102,A New Leaf,Comedy,MatthauWalter,ArrickRose,MayElaine,83,No,NicholasCage.png
1959,91,Killers of Kilimanjaro,Action,TaylorRobert,AslanGregoire,ThorpeRichard,11,No,NicholasCage.png
1926,126,Don Juan,Action,BarrymoreJohn,AstorMary,CroslandAlan,55,No,NicholasCage.png
1987,102,Babette's Feast,Drama,LaFontJean-Philippe,AudranStéphane,AxelGabriel,79,Yes,NicholasCage.png
1989,118,VincentFrancoisPaul & the Others,Drama,MontandYves,AudranStéphane,,20,No,NicholasCage.png
1988,141,Thunderball,Action,ConnerySean,AugerClaudine,YoungTerrence,8,No,seanConnery.png
1926,66,Lodger (Story of the London Fog),Mystery,ChesneyArthur,AultMarie,HitchcockAlfred,76,No,alfredHitchcock.png
1988,103,Appointment with Death,Mystery,UstinovPeter,BacallLauren,DonaggioMichael Winner,75,No,NicholasCage.png
1974,128,Murder on the Orient Express,Mystery,BalsamMartin,BacallLauren,LumetSidney,8,Yes,NicholasCage.png
1955,115,Blood Alley,War,WayneJohn,BacallLauren,WellmanWilliam,15,No,johnWayne.png
1977,136,Spy Who Loved MeThe,Action,MooreRoger,BachBarbara,GilbertLewis,27,No,NicholasCage.png
1988,100,Storm,Action,PalfyDavid,BahtiaStacy Christensen,WinningDavid,61,No,NicholasCage.png
1991,89,Bloodbath,Horror,HopperDennis,BakerCarroll,,37,No,NicholasCage.png
1989,103,Miami Cops,Action,RoundtreeRichard,BakerDawn,BradleyAl,40,No,NicholasCage.png
1996,96,Island of Dr. MoreauThe,Horror,ThewlisDavid,BalkFairuza,FrankenheimerJohn,39,No,NicholasCage.png
1992,100,Eighty-Four Charing Cross Road,Drama,HopkinsAnthony,BancroftAnne,JonesDavid,9,No,AnthonyHopkins.png
1980,124,Elephant ManThe,Drama,HopkinsAnthony,BancroftAnne,LynchDavid,3,Yes,AnthonyHopkins.png
1988,90,Dr Alien,Science Fiction,JacobyBilly,BarashOlivia,DeCoteauDavid,70,No,NicholasCage.png
1982,120,Creepshow,Horror,HolbrookHal,BarbeauAdrienne,RomeroGeorge A.,70,No,NicholasCage.png
1987,100,Sammy & Rosie Get Laid,Drama,DinAyub Khan,BarberFrances,FrearsStephen,6,No,NicholasCage.png
1971,101,Goalie's Anxiety at the Penalty KickThe,Drama,BraussArthur,BardischewskiMaria,WendersWim,62,No,NicholasCage.png
1957,99,Mademoiselle Striptease,Comedy,GelinDaniel,BardotBrigitte,AllegretMarc,25,No,brigitteBardot.png
1969,86,WomenThe,Drama,RonetMaurice,BardotBrigitte,AurelJean,66,No,brigitteBardot.png
1958,77,That Naughty Girl,Comedy,BretonniereJean,BardotBrigitte,BoisrondMichel,37,No,brigitteBardot.png
1959,90,Voulez-Vous Danser Avec Moi?,Comedy,VidalHenri,BardotBrigitte,BoisrondMichel,16,No,brigitteBardot.png
1967,100,A Coeur Joie(Head Over Heels),Action,TerzieffLaurent,BardotBrigitte,BourguignonSerge,54,No,brigitteBardot.png
1968,113,Shalako,Westerns,ConnerySean,BardotBrigitte,DmytrykEdward,0,No,brigitteBardot.png
1964,102,Contempt,Drama,PalanceJack,BardotBrigitte,GodardJean-Luc,81,No,brigitteBardot.png
1965,100,Dear Brigitte,Comedy,MumyBilly,BardotBrigitte,KosterHenry,71,No,brigitteBardot.png
1962,134,A Very Private Affair,Drama,MastroianniMarcello,BardotBrigitte,MalleLouis,30,No,brigitteBardot.png
1964,99,Ravishing IdiotThe,Comedy,PerkinsAnthony,BardotBrigitte,MolinaroEdouard,34,No,brigitteBardot.png
1958,90,Bride Is Much Too BeautifulThe,Comedy,JourdanLouis,BardotBrigitte,SurinFred,70,No,brigitteBardot.png
1955,90,Doctor at Sea,Comedy,BogardeDirk,BardotBrigitte,ThomasRalph,83,No,brigitteBardot.png
1962,100,Le Repos Du Guerrier(Warrior's Rest),War,HosseinRobert,BardotBrigitte,VadimRoger,8,No,brigitteBardot.png
1957,90,And God Created Woman,Drama,JurgensCurt,BardotBrigitte,VadimRoger,29,No,brigitteBardot.png
1973,87,Ms. Don Juan,Drama,RonetMaurice,BardotBrigitte,VadimRoger,39,No,brigitteBardot.png
1987,97,Siesta,Drama,ByrneGabriel,BarkinEllen,LambertMary,48,No,NicholasCage.png
1932,92,Rich & Strange,Drama,KendallHenry,BarryJoan,HitchcockAlfred,57,No,alfredHitchcock.png
1987,104,Lionheart,Action,StoltzEric,BarrymoreDeborah,SchaffnerFranklin J.,9,No,NicholasCage.png
1982,115,E. T. The Extra-Terrestrial,Science Fiction,WallaceDee,BarrymoreDrew,SpielbergSteven,8,Yes,NicholasCage.png
1992,101,Cool World,Drama,ByrneGabriel,BasingerKim,BakshiRalph,44,No,NicholasCage.png
1988,83,Nadine,Comedy,BridgesJeff,BasingerKim,BentonRobert,47,No,NicholasCage.png
1989,126,Batman,Action,NicholsonJack,BasingerKim,BurtonTim,14,No,JackNicholson.png
1987,95,Blind Date,Comedy,WillisBruce,BasingerKim,EdwardsBlake,7,No,NicholasCage.png
1982,101,Mother Lode,Action,HestonCharlton,BasingerKim,HestonCharlton,40,No,NicholasCage.png
1992,125,Final Analysis,Drama,GereRichard,BasingerKim,JoanouPhil,50,No,NicholasCage.png
1983,134,Never Say Never Again,Action,ConnerySean,BasingerKim,KershnerIrvin,8,No,seanConnery.png
1986,117,Nine & a Half Weeks,Drama,RourkeMickey,BasingerKim,LyneAdrian,7,No,NicholasCage.png
1989,,Killjoy,Mystery,CulpRobert,BasingerKim,MoxeyJohn Llewellyn,71,No,NicholasCage.png
1986,108,No Mercy,Drama,GereRichard,BasingerKim,PearceRichard,11,No,NicholasCage.png
1991,116,Marrying ManThe,Comedy,BaldwinAlec,BasingerKim,ReesJerry,84,No,NicholasCage.png
1990,123,Misery,Horror,CaanJames,BatesKathy,ReinerRob,48,Yes,NicholasCage.png
1946,93,Crisis,Drama,AnderssonWiktor,BaudeAnna-Lisa,BergmanIngmar,66,No,Bergman.png
1984,95,Samson & Delilah,Drama,HamiltonAntony,BauerBelinda,PhilipsLee,36,No,NicholasCage.png
1990,101,Act of Piracy,Mystery,BuseyGary,BauerBelinda,,74,No,NicholasCage.png
1988,96,Split Decisions,Drama,HackmanGene,BealsJennifer,DruryDavid,52,No,NicholasCage.png
1989,103,Vampire's Kiss,Comedy,CageNicolas,BealsJennifer,,49,No,NicholasCage.png
1988,96,Nightmare at Noon,Action,HauserWings,BeckKimberly,MastorakisNico,0,No,NicholasCage.png
1990,127,Presumed Innocent,Mystery,FordHarrison,BedeliaBonnie,PakulaAlan J.,69,No,NicholasCage.png
1942,123,Reap the Wild Wind,Drama,WayneJohn,BeecherJanet,DeMilleCecil B.,59,No,johnWayne.png
1972,100,Pocket Money,Comedy,NewmanPaul,BelfordChristine,RosenbergStuart,55,No,paulNewman.png
1977,102,Mary White,Drama,FlandersEd,BellerKathleen,TaylorJud,2,No,NicholasCage.png
1982,,Catch a Rising StarTenth Anniversary,Comedy,BelzerRichard,BenatarPat,,18,No,NicholasCage.png
1990,105,Guilty by Suspicion,Drama,De NiroRobert,BeningAnnette,WinklerIrwin,88,No,NicholasCage.png
1948,99,Secret Beyond the Door,Mystery,RedgraveMichael,BennettJoan,LangFritz,31,No,NicholasCage.png
1945,103,Scarlet Street,Drama,RobinsonEdward G.,BennettJoan,LangFritz,80,No,NicholasCage.png
1988,76,Daffy Duck's Quackbusters,Action,BlancMel,BennettJulie,FordGreg,68,No,NicholasCage.png
1985,55,Rowlf's Rhapsodies with the Muppets,Comedy,BurnsGeorge,BerensonMarisa,,79,No,NicholasCage.png
1982,188,Gandhi,Drama,KingsleyBen,BergenCandice,AttenboroughRichard,7,Yes,NicholasCage.png
1975,120,Wind & the LionThe,Action,ConnerySean,BergenCandice,MiliusJohn,2,No,seanConnery.png
1971,96,Carnal Knowledge,Drama,NicholsonJack,BergenCandice,NicholsMike,10,No,JackNicholson.png
1970,126,Getting Straight,Comedy,GouldElliott,BergenCandice,RushRichard,83,No,NicholasCage.png
1972,90,Scarlet LetterThe,Drama,AlbaicínRafael,BergerSenta,WendersWim,55,No,NicholasCage.png
1935,75,Count of Old TownThe,Comedy,AdolphsonEdvin,BergmanIngrid,AdolphsonEdvin,72,No,ingridBergman.png
1978,97,Autumn Sonata,Drama,BjörkHalvar,BergmanIngrid,BergmanIngmar,49,Yes,ingridBergman.png
1944,114,Gaslight,Drama,BoyerCharles,BergmanIngrid,CukorGeorge,25,Yes,ingridBergman.png
1958,100,Indiscreet,Drama,GrantCary,BergmanIngrid,DonenStanley,1,No,ingridBergman.png
1941,75,Walpurgis Night,Drama,SjöströmVictor,BergmanIngrid,EdgrenGustaf,32,No,ingridBergman.png
1948,100,Joan of Arc,Drama,FerrerJose,BergmanIngrid,FlemingVictor,7,No,ingridBergman.png
1982,195,A Woman Called Golda,Drama,BeattyNed,BergmanIngrid,GibsonAlan,15,Yes,ingridBergman.png
1969,98,A Walk in the Spring Rain,Drama,QuinnAnthony,BergmanIngrid,GreenGuy,2,No,ingridBergman.png
1949,117,Under Capricorn,Drama,CottenJoseph,BergmanIngrid,HitchcockAlfred,74,No,ingridBergman.png
1946,101,Notorious,Mystery,GrantCary,BergmanIngrid,HitchcockAlfred,42,No,ingridBergman.png
1940,90,June Night,Drama,WidgrenOlof,BergmanIngrid,LindbergPer,14,No,ingridBergman.png
1961,120,Goodbye Again,Drama,PerkinsAnthony,BergmanIngrid,LitvakAnatole,6,No,ingridBergman.png
1956,106,Anastasia,Drama,TamiroffAkim,BergmanIngrid,LitvakAnatole,24,Yes,ingridBergman.png
1945,126,Bells of St. Mary'sThe,Drama,CrosbyBing,BergmanIngrid,McCareyLeo,31,No,ingridBergman.png
1937,91,Intermezzo,Drama,EkmanGösta,BergmanIngrid,MolanderGustaf,32,No,ingridBergman.png
1938,104,A Woman's Face,Drama,SvennbergTore,BergmanIngrid,MolanderGustaf,49,No,ingridBergman.png
1935,90,Swedenhielms,Drama,WestergrenHåkan,BergmanIngrid,MolanderGustaf,88,No,ingridBergman.png
1939,87,Only One Night,Drama,AdolphsonEdvin,BergmanIngrid,MolanderGustav,26,No,ingridBergman.png
1938,74,Dollar,Drama,RydebergGeorg,BergmanIngrid,MolanderGustav,19,No,ingridBergman.png
1956,98,Elena & Her Men,Drama,FerrerMel,BergmanIngrid,RenoirJean,33,No,ingridBergman.png
1952,110,Europa Fifty-One,Drama,KnoxAlexander,BergmanIngrid,RosselliniRoberto,34,No,ingridBergman.png
1953,83,Voyage in Italy,Drama,SandersGeorge,BergmanIngrid,RosselliniRoberto,57,No,ingridBergman.png
1954,81,Fear,Drama,WiemanMathias,BergmanIngrid,RosselliniRoberto,69,No,ingridBergman.png
1950,107,Stromboli,Drama,VitaleMario,BergmanIngrid,RosselliniRoberto,69,No,ingridBergman.png
1969,103,Cactus Flower,Comedy,MatthauWalter,BergmanIngrid,SaksGene,67,Yes,ingridBergman.png
1989,105,Hideaways,Comedy,ConoverBruce,BergmanIngrid,,16,No,ingridBergman.png
1990,90,Twenty Four Hours in a Woman's Life,Drama,TornRip,BergmanIngrid,,16,No,ingridBergman.png
1987,91,Programmed to Kill,Action,GintyRobert,BergmanSandahl,HolzmanAllan,71,No,NicholasCage.png
1982,128,Conan the Barbarian,Action,SchwarzeneggerArnold,BergmanSandahl,MiliusJohn,45,No,NicholasCage.png
1991,91,Raw Nerve,Mystery,FordGlenn,BergmanSandahl,PriorDavid A.,88,No,glennFord.png
1970,94,Think Dirty,Comedy,FeldmanMarty,BermanShelley,ClarkJim,31,No,NicholasCage.png
1982,108,King of Comedy,Drama,De NiroRobert,BernhardSandra,ScorseseMartin,84,No,NicholasCage.png
1983,60,Best of the Big Laff OffThe,Comedy,MurphyEddie,BernhardSandra,,20,No,NicholasCage.png
1984,158,Amadeus,Drama,AbrahamF. Murray,BerridgeElizabeth,FormanMilos,6,Yes,NicholasCage.png
1973,101,White Lightning,Action,ReynoldsBurt,BillingsleyJennifer,SargentJoseph,54,No,NicholasCage.png
1988,172,Unbearable Lightness of BeingThe,Drama,Day-LewisDaniel,BinocheJuliette,KaufmanPhilip,5,Yes,NicholasCage.png
1972,124,Life & Times of Judge Roy BeanThe,Western,NewmanPaul,BissetJacqueline,HustonJohn,65,No,paulNewman.png
1970,137,Airport,Drama,LancasterBurt,BissetJacqueline,SeatonGeorge,0,Yes,burtLancaster.png
1973,116,Day for Night,Drama,AumontJean-Pierre,BissetJacqueline,TruffautFrançois,10,Yes,NicholasCage.png
1952,107,Secrets of Women,Comedy,MalmstenBirger,BjörkAnita,BergmanIngmar,66,No,Bergman.png
1976,116,Burnt Offerings,Horror,ReedOliver,BlackKaren,CurtisDan,35,No,NicholasCage.png
1969,94,Easy Rider,Drama,FondaPeter,BlackKaren,HopperDennis,36,No,NicholasCage.png
1991,98,Five Easy Pieces,Drama,NicholsonJack,BlackKaren,RafelsonBob,2,No,JackNicholson.png
1974,144,Day of the LocustThe,Drama,SutherlandDonald,BlackKaren,SchlesingerJohn,81,No,NicholasCage.png
1964,112,Goldfinger,Action,ConnerySean,BlackmanHonor,HamiltonGuy,77,No,seanConnery.png
1977,117,Exorcist IIThe Heretic,Horror,BurtonRichard,BlairLinda,BoormanJohn,29,No,NicholasCage.png
1953,61,White Lightning,,ClementsStanley,BlondellGloria,BerndsEdward,,No,NicholasCage.png
1942,88,Lady for a Night,Drama,WayneJohn,BlondellJoan,LeighJason,12,No,johnWayne.png
1968,103,Charly,Drama,RobertsonCliff,BloomClaire,NelsonRalph,38,Yes,NicholasCage.png
1973,105,High Plains Drifter,Western,EastwoodClint,BloomVerna,EastwoodClint,57,No,clintEastwood.png
1982,123,Honkytonk Man,Drama,EastwoodClint,BloomVerna,EastwoodClint,69,No,clintEastwood.png
1990,102,Nightbreed,Horror,CronenbergDavid,BobbyAnne,BarkerClive,72,No,NicholasCage.png
1987,98,Under the Sun of Satan,Drama,DepardieuGérard,BonnaireSandrine,PialatMaurice,45,No,NicholasCage.png
1985,105,Vagabond,Drama,MerilMacha,BonnaireSandrine,VardaAgnes,49,No,NicholasCage.png
1993,60,Bill CosbyLive at Harrah's,Comedy,CosbyBill,BooslerElayne,,13,No,NicholasCage.png
1974,89,Monty Python & the Holy Grail,Comedy,ChapmanGraham,BoothConnie,GilliamTerry,83,No,NicholasCage.png
1993,65,John Cleese on How to Irritate People,Comedy,CleeseJohn,BoothConnie,,62,No,NicholasCage.png
1958,101,MatchmakerThe,Comedy,PerkinsAnthony,BoothShirley,AnthonyJoseph,67,No,NicholasCage.png
1981,129,For Your Eyes Only,Action,MooreRoger,BouquetCarole,GlenJohn,86,No,NicholasCage.png
1928,139,Wings,War,RogersBuddy,BowClara,WellmanWilliam,44,Yes,NicholasCage.png
1992,106,Medicine Man,Action,ConnerySean,BraccoLorraine,McTiernanJohn,6,No,seanConnery.png
1989,,Good Fellas,Drama,De NiroRobert,BraccoLorraine,ScorseseMartin,15,No,NicholasCage.png
1985,119,Kiss of the Spider Woman,Drama,HurtWilliam,BragaSonia,BabencoHector,10,Yes,NicholasCage.png
1990,121,RookieTHe,Action,EastwoodClint,BragaSonia,EastwoodClint,48,No,clintEastwood.png
1973,129,StingThe,Drama,NewmanPaul,BrennanEileen,HillGeorge Roy,83,Yes,paulNewman.png
1958,96,Torpedo Run,War,FordGlenn,BrewsterDiane,PevneyJoseph,50,No,glennFord.png
1986,101,Instant Justice,Drama,ParéMichael,BridgesLynda,RumarCraig,45,No,NicholasCage.png
1990,135,Cyrano de Bergerac,Drama,DepardieuGérard,BrochetAnne,RappeneauJean-Paul,76,No,NicholasCage.png
1948,110,Border Street,Drama,FijewskiTadeusz,BroniewskaMaria,FordAleksander,73,No,NicholasCage.png
1987,91,Firehouse,Comedy,HopkinsBarrett,BrownViolet,IngvordsenJ. Christian,66,No,NicholasCage.png
1965,123,Morituri,Drama,BrandoMarlon,BrynnerYul,WickiBernhard,9,No,brando.png
1980,104,From the Life of the Marionettes,Drama,AtzornRobert,BucheggerChristine,BergmanIngmar,58,No,Bergman.png
1988,120,Frantic,Mystery,FordHarrison,BuckleyBetty,PolanskiRoman,17,No,NicholasCage.png
1978,114,Coma,Science Fiction,DouglasMichael,BujoldGeneviève,CrichtonMichael,64,No,NicholasCage.png
1988,117,Dead Ringers,Drama,IronsJeremy,BujoldGeneviève,CronenbergDavid,29,No,NicholasCage.png
1988,90,Golden Ninja Invasion,Action,WestLeonard,BurdStephanie,LambertBruce,13,No,NicholasCage.png
1973,122,ExorcistThe,Horror,SydowMax von,BurstynEllen,FriedkinWilliam,28,Yes,NicholasCage.png
1975,112,Alice Doesn't Live Here Anymore,Comedy,KristoffersonKris,BurstynEllen,,82,Yes,NicholasCage.png
1982,94,Eyes of the AmaryllisThe,Drama,BoltJonathan,ByrneMartha,King KellerFrederick,70,No,NicholasCage.png
1952,109,What Price Glory?,War,CagneyJames,CalvetCorinne,FordJohn,4,No,johnFord.png
1954,40,Inauguration of the Pleasure Dome,Short,De BrierSampson,CameronMarjorie,AngerKenneth,62,No,NicholasCage.png
1989,114,School Daze,Comedy,FishburneLarry,CampbellTisha,LeeSpike,18,No,NicholasCage.png
1990,102,End of InnocenceThe,Drama,HeardJohn,CannonDyan,CannonDyan,6,No,NicholasCage.png
1971,98,Anderson TapesThe,Mystery,ConnerySean,CannonDyan,LumetSidney,1,No,seanConnery.png
1983,50,Father MurphyA Horse from Heaven,Comedy,OlsenMerlin,CannonKatharine,ClaxtonWilliam F.,28,No,NicholasCage.png
1989,80,Skull,Drama,BidemanRobert,CaponeNadia,BergmanRobert,19,No,NicholasCage.png
1987,91,Quick & The DeadThe,Western,ElliottSam,CapshawKate,DayRobert,40,No,NicholasCage.png
1984,94,Best Defense,Comedy,MooreDudley,CapshawKate,HuyckWillard,75,No,NicholasCage.png
1984,99,Dreamscape,Science Fiction,QuaidDennis,CapshawKate,RubenJoseph,63,No,NicholasCage.png
1989,125,Black Rain,Action,DouglasMichael,CapshawKate,ScottRidley,73,No,NicholasCage.png
1963,138,8 1/2,Drama,MastroianniMarcello,CardinaleClaudia,FelliniFederico,80,Yes,NicholasCage.png
1935,64,One Frightened Night,Horror,FordWallace,CarlisleMary,CabanneChristy,33,No,NicholasCage.png
1988,103,Year My Voice BrokeThe,Drama,TaylorNoah,CarmenLoene,DuiganJohn,71,No,NicholasCage.png
1966,175,Is Paris Burning?,War,BelmondoJean-Paul,CaronLeslie,ClémentRené,63,No,NicholasCage.png
1974,313,QB VII,Drama,HopkinsAnthony,CaronLeslie,GriesTom,28,Yes,AnthonyHopkins.png
1977,104,Island of Dr. MoreauThe,Horror,LancasterBurt,CarreraBarbara,TaylorDon,54,No,burtLancaster.png
1983,104,Beyond the Limit,Drama,CaineMichael,CarrilloElpidia,MackenzieJohn,51,No,NicholasCage.png
1936,84,Secret Agent,Mystery,LorrePeter,CarrollMadeleine,HitchcockAlfred,50,No,alfredHitchcock.png
1986,71,Paramount Comedy Theater: Well-Developed,Comedy,MahlerBruce,CarterJudy,,40,No,NicholasCage.png
1972,71,Big Bust OutThe,Action,KendallTony,CarterKaren,TheumerErnst R. von,50,No,NicholasCage.png
1987,119,Fourth ProtocolThe,Mystery,CaineMichael,CassidyJoanna,MackenzieJohn,14,No,NicholasCage.png
1990,107,Gremlins 2: The New Batch,Comedy,GalliganZach,CatesPhoebe,DanteJoe,61,No,NicholasCage.png
1982,92,Fast Times at Ridgemont High,Comedy,PennSean,CatesPhoebe,HeckerlingAmy,65,No,NicholasCage.png
1987,,Mannequin,Comedy,McCarthyAndrew,CattrallKim,GottliebMichael,23,No,NicholasCage.png
1977,91,Rabid,Horror,MooreFrank,ChambersMarilyn,CronenbergDavid,34,No,NicholasCage.png
1990,,PartyThe,Comedy,SellersPeter,ChampionMarge,EdwardsBlake,32,No,NicholasCage.png
1989,90,Vampire RaidersNinja Queen,Action,PetersonChris,ChanAgnes,LambertBruce,15,No,NicholasCage.png
1970,26,Bloopers from Star Trek,Comedy,LawfordPeter,ChanningCarol,,22,No,NicholasCage.png
